ds,кластер1,кластер2,кластер3,кластер4,кластер5,кластер6
2020-02-13,195370,1800555,9257778,264457,47553,9378392
2020-02-14,161210,4128910,10361537,246687,42490,5962476
2020-02-15,363060,1415666,11023830,199086,35284,4340921
2020-02-16,377526,1123021,10102374,206301,38431,7422402
2020-02-17,301079,1435602,8991453,252702,50419,10202968
2020-02-18,341245,1464447,9054723,250637,50290,10196664
2020-02-19,298701,1533222,9206300,219355,49308,9797593
2020-02-20,275488,1817639,9460426,214478,46196,9029563
2020-02-21,219608,2008919,10594422,216247,40157,5266302
2020-02-22,501551,2221029,11223533,202186,32113,3014789
2020-02-23,736962,6397137,11445431,258857,30155,3096492
2020-02-24,409110,1835407,9647259,351030,37041,7625224
2020-02-25,445366,1357635,8605223,468954,43923,10712223
2020-02-26,387373,1354150,8680016,501323,41249,11003174
2020-02-27,309340,1332624,8936435,535340,37144,10362041
2020-02-28,230388,1278550,9862937,698721,32929,6297746
2020-02-29,839763,1319835,10733101,455450,26339,4232654
2020-03-01,584220,4037862,9936103,458663,26242,7296699
2020-03-02,217587,1528636,8722959,801137,34347,11193918
2020-03-03,174834,1597640,9064949,749462,32918,11270563
2020-03-04,376417,1660092,9014597,571852,31885,11021802
2020-03-05,197893,1979171,9197960,527526,29085,9640191
2020-03-06,222274,2610689,10762736,578435,24894,4692244
2020-03-07,476763,3058318,10977916,456064,20389,2570778
2020-03-08,891672,7433728,11721362,420237,19482,2113741
2020-03-09,902099,1059760,9442503,522032,24909,7099003
2020-03-10,207563,1086590,8300971,829122,28584,11075980
2020-03-11,352451,1063936,8327933,1048710,27642,11478731
2020-03-12,333461,1076947,8516214,1443754,24355,10965269
2020-03-13,156847,1031701,9708319,1609530,21271,6964376
2020-03-14,411629,927627,10734185,1717338,16349,4454330
2020-03-15,477924,989185,10016712,1955271,17131,7926737
2020-03-16,152068,972032,8426158,3798768,17244,10767295
2020-03-17,76181,925001,8462582,4154388,14752,10230979
2020-03-18,70019,924193,8594839,3349197,13998,9913222
2020-03-19,84927,993990,8912717,3150970,13655,9108960
2020-03-20,70547,1130557,9894284,2674500,13064,6155619
2020-03-21,69887,985269,10639609,2190119,11833,3719907
2020-03-22,84299,956628,9827180,2385315,12117,4306837
2020-03-23,60965,969119,8810758,3051649,13334,7244226
2020-03-24,56225,996517,8856985,3146098,13418,7951458
2020-03-25,57797,1062101,8554959,4016710,11610,7748089
2020-03-26,51398,853487,8577099,5553868,10272,7802950
2020-03-27,49670,932287,9179943,6367241,8590,6175127
2020-03-28,56176,771142,9908884,5621648,7613,3692745
2020-03-29,56064,754454,9574540,6361289,7760,4001197
2020-03-30,64204,822498,8927977,7886919,8566,5965296
2020-03-31,65688,881655,8995927,8117600,8649,6357885
2020-04-01,67579,1355027,9115752,7346564,9299,6810077
2020-04-02,78997,872623,9092743,7974210,8446,7090940
2020-04-03,61057,845219,9646139,7555246,8266,6934786
2020-04-04,58402,883759,10189196,5939271,8568,5957433
2020-04-05,69100,948385,9843071,5686826,9429,8159731
2020-04-06,54964,989868,9124007,5682729,9728,24604236
2020-04-07,64330,1819579,9286383,5034291,9713,29241814
2020-04-08,63807,993546,9166512,4670534,9852,30205471
2020-04-09,63495,957514,9366553,4732445,10116,29203112
2020-04-10,63514,1084009,10345360,5073586,9760,24315831
2020-04-11,58001,1223520,10812693,4850522,8990,11748487
2020-04-12,58171,3068774,10262742,5155358,9201,12934519
2020-04-13,48792,995645,9286486,6963476,10079,31705734
2020-04-14,48669,1035163,9398185,6653944,10022,32634633
2020-04-15,58689,1084321,9364843,6195924,9408,31872765
2020-04-16,63419,1690929,9502135,5548747,9601,30330770
2020-04-17,69601,1264843,10308002,5698999,9464,25250871
2020-04-18,104264,1918334,10432072,4455788,8567,10935444
2020-04-19,132715,4428081,11127221,4520136,8999,9663560
2020-04-20,73429,1102079,9568211,5224654,10301,30796291
2020-04-21,56955,1173533,9500628,4942954,10232,31672795
2020-04-22,51364,1153749,9557784,4751965,10450,31155190
2020-04-23,55420,1163238,9638289,4568372,10011,29968059
2020-04-24,62144,1234728,10508989,4225805,10133,24741884
2020-04-25,58682,1412868,10810021,3968965,9313,11152763
2020-04-26,54582,1571434,10295232,3808103,9808,10975232
2020-04-27,49765,1163223,9638392,4268445,10758,29871713
2020-04-28,45568,1415082,9701068,4058306,10530,29576138
2020-04-29,44372,1255224,9640009,4263064,10426,30055370
2020-04-30,47561,1517600,10077462,4095956,9455,23839765
2020-05-01,51459,2641255,10982509,3324074,8496,5165294
2020-05-02,52897,959502,9899617,3290161,8743,4745143
2020-05-03,50487,1049396,9530927,3197793,8609,4301498
2020-05-04,47085,1049543,9213705,3378657,9978,6459057
2020-05-05,50743,1167957,9035126,3202904,9827,7109075
2020-05-06,47923,1320765,9142548,3322193,10057,15086387
2020-05-07,52444,1507342,9556873,3334183,9757,14711654
2020-05-08,82127,1856055,10510274,3335650,9105,12042240
2020-05-09,176670,3509321,13166601,2451871,7577,3718691
2020-05-10,1267328,1013664,9606996,2950580,8826,5093969
2020-05-11,306542,972637,8666753,3824921,9502,10105322
2020-05-12,153016,1499979,8637441,3864744,10577,26783937
2020-05-13,119586,1083533,8807547,3158645,11025,28812214
2020-05-14,106399,1115853,9060575,2884531,11057,29160182
2020-05-15,76495,1642366,9847753,2798554,10688,23828159
