ds,1,2,3,4,5,6,7,8
2018-03-26,60301,58465,61508,73872,32217,107,48851,80617
2018-03-27,60132,57697,56466,72678,31716,105,51035,79188
2018-03-28,58990,57938,54329,66669,31309,102,50466,79310
2018-03-29,58968,57022,56106,62202,30987,101,50027,82601
2018-03-30,48473,50465,49336,45577,25297,93,42811,74237
2018-03-31,31124,33024,41664,35499,15753,88,12752,28510
2018-04-01,39018,36831,48071,52434,20495,102,13812,31439
2018-04-02,61640,58575,61037,64518,32205,109,47187,85825
2018-04-03,64034,63518,61858,65033,33607,112,47837,87274
2018-04-04,61769,60292,58241,61126,32591,101,46864,82708
2018-04-05,57316,58297,53065,51695,30488,94,44329,78614
2018-04-06,46938,51934,46459,39291,25053,85,37550,66201
2018-04-07,27384,31126,37885,29471,14179,75,9127,23362
2018-04-08,33844,31091,40989,43419,17758,88,8640,24601
2018-04-09,60712,58963,57232,62890,31873,105,43870,80117
